student_id,first_name,last_name,gender,date_of_birth,enrollment_year,grade_level,course_id,course_name,department,credits,instructor_id
709,Kameko,Pencot,M,9/2/1990,2021,12,95,Tax Accountant,Science,3,42
443,Dita,Blowfield,M,12/25/1998,2023,12,87,Human Resources Manager,Math,3,14
374,Melessa,Pie,M,7/1/1998,2021,12,52,Nurse,Physical Education,5,34
632,Rachele,Dovinson,M,8/9/1990,2020,11,73,Legal Assistant,English,5,12
585,Sidonnie,Crighton,M,5/25/1996,2018,9,93,Technical Writer,Science,5,8
911,Terry,Haste,F,11/11/2004,2020,9,78,Dental Hygienist,Math,4,23
948,Bevin,Jellico,M,10/23/2004,2022,10,82,Environmental Specialist,Math,4,46
812,Caldwell,Marzella,F,8/6/2000,2023,12,39,VP Sales,History,3,44
611,Rafe,Falla,M,9/19/1996,2015,12,38,Editor,Physical Education,5,12
566,Ardith,Loweth,F,11/29/1993,2015,10,89,Assistant Professor,Math,4,20
649,Asa,Oliveto,M,3/9/1993,2018,11,77,Actuary,Math,3,15
148,Jillian,Skegg,M,3/10/1994,2019,12,24,Safety Technician IV,Computer Science,3,3
690,Ilario,Wardroper,F,3/14/1990,2018,11,5,Programmer Analyst I,Physical Education,4,49
891,Rosalyn,Tacon,M,5/29/2000,2017,9,90,Senior Developer,Science,3,11
581,Mab,Clingoe,M,7/28/1997,2015,11,48,General Manager,Physical Education,5,49
366,Ruby,Baxster,M,10/31/1990,2017,11,37,Food Chemist,Computer Science,4,10
158,Ulrika,Izaac,M,12/24/1997,2018,12,75,Business Systems Development Analyst,History,3,27
562,Carlen,Oliver,M,7/20/1990,2017,10,41,Editor,Science,5,46
471,Bliss,Chown,F,7/26/1997,2017,10,71,GIS Technical Architect,Science,3,46
62,Fionnula,Nazer,M,3/28/2004,2020,10,90,Recruiter,Physical Education,5,50
788,Colet,Annakin,M,9/29/1994,2016,10,88,Food Chemist,Physical Education,5,20
83,Pietrek,Kineton,F,1/3/1997,2015,12,97,Software Engineer IV,Computer Science,3,21
942,Kendal,Ratledge,F,12/8/1992,2023,11,38,Analog Circuit Design manager,English,3,3
469,Lyndsey,Olivelli,F,6/9/1995,2016,11,19,Assistant Manager,History,5,7
471,Bonni,Semrad,F,7/12/1990,2017,10,62,Statistician I,Math,3,29
200,Costanza,Heephy,M,10/5/1998,2023,11,16,Librarian,Physical Education,4,7
269,Ashly,Oakwood,F,12/12/1991,2017,9,88,Web Designer I,History,4,43
821,Kent,Heymes,F,3/15/1992,2022,9,51,Internal Auditor,Math,3,34
920,Chrissy,Brendeke,M,7/12/1991,2023,12,36,Business Systems Development Analyst,English,3,32
849,Lucretia,Adamec,F,5/4/2000,2017,11,13,Marketing Assistant,Physical Education,3,39
288,Lyell,Gallico,F,12/9/1997,2019,11,33,Statistician IV,English,4,10
10,Hamel,Steely,F,10/11/2001,2019,9,58,Tax Accountant,Physical Education,5,37
696,Kalila,Klees,M,3/18/1993,2020,11,87,Associate Professor,Computer Science,5,18
901,Omero,Thorn,M,11/24/2001,2016,9,55,GIS Technical Architect,English,3,32
382,Prince,Prettjohn,F,2/15/1996,2016,12,1,Legal Assistant,Math,4,17
240,Jolynn,Linacre,F,10/3/2001,2021,9,78,Internal Auditor,Math,3,5
594,Lilian,Fandrich,M,4/7/1993,2016,10,32,Human Resources Manager,English,3,28
639,Anna,McNalley,F,3/10/1998,2021,11,72,Nuclear Power Engineer,Math,4,33
72,Veronike,Yonge,M,1/20/1991,2017,9,27,Media Manager I,English,4,34
394,Enrico,Whittier,M,7/13/2001,2022,12,86,Registered Nurse,English,3,25
611,Delaney,Wickardt,M,1/31/2001,2016,10,71,Web Developer III,Science,5,35
560,Anjela,Myatt,M,10/11/1993,2018,12,90,Help Desk Operator,Physical Education,3,28
622,Corilla,Maffezzoli,M,9/7/1991,2023,12,52,Editor,Computer Science,3,25
625,Janelle,Faccini,F,10/16/2004,2016,12,24,Graphic Designer,Science,4,42
34,Dannye,Bryde,F,6/28/1991,2020,11,59,Electrical Engineer,Science,3,7
503,Starlene,Rastall,F,12/10/2004,2023,12,5,Developer III,Physical Education,5,22
259,Caritta,Rude,F,5/14/1991,2017,11,41,Editor,Math,4,13
332,Adria,Anyon,F,3/11/1996,2018,11,56,Operator,Computer Science,5,13
594,Lindsy,Sealy,F,7/7/1999,2021,11,76,Structural Engineer,Physical Education,4,18
325,Allan,Kyncl,F,5/31/1991,2022,9,24,Marketing Assistant,Math,3,30
593,Colet,MacColl,F,1/26/2004,2020,11,48,Senior Quality Engineer,History,4,23
115,Estevan,Petroulis,M,3/19/1990,2023,12,72,VP Accounting,Science,4,38
577,Omero,Harcourt,M,5/5/1991,2017,12,91,Structural Engineer,Math,5,2
322,Joletta,Dabner,F,4/9/2000,2023,11,7,Design Engineer,Computer Science,5,38
568,Hermie,Adami,F,8/5/2002,2022,9,45,Computer Systems Analyst I,Physical Education,5,1
213,Sebastien,Epilet,F,11/18/1992,2022,12,52,Assistant Media Planner,Science,3,36
852,Hally,Dorman,M,6/5/2005,2017,10,75,Director of Sales,Science,5,3
245,Denny,Karoly,M,11/28/2002,2018,10,93,Project Manager,Computer Science,5,28
52,Roxine,Biasi,F,11/1/2004,2018,10,20,Biostatistician III,Math,5,5
692,Bevin,Manus,M,10/1/1993,2016,12,87,Design Engineer,History,5,20
901,Guilbert,Waszczykowski,M,5/3/1997,2021,9,15,Structural Engineer,Science,4,15
592,Boy,Ace,F,2/14/2002,2015,12,34,Teacher,Physical Education,3,27
398,Huntington,Di Bartolommeo,M,1/1/1991,2016,12,34,Assistant Media Planner,Physical Education,3,21
639,Quintus,De Mitri,M,2/6/2003,2016,9,74,VP Quality Control,Physical Education,3,25
